Combination_ID	CADD1	CADD2	CADD3	CADD4	BiolDist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	HIPred_A	HIPred_B	dn_ds_A	BPO_sim	KG_dist
OLI055	1.366	-3	5.252	3.579	0.265	0.709	0.692	0.025	0.0	-0.5	0.146	0.492	0.329	0.173	1.0
OLI058	3.876	-3	2.65	-3	0.265	0.709	0.692	0.025	0.0	-0.5	0.146	0.492	0.329	0.173	1.0
OLI062	2.48	-3	3.721	3.721	1.111	0.831	0.755	0.006	0.041	-0.5	0.415	0.132	0.42	0.332	1.0
OLI065	4.093	-3	3.721	3.721	1.111	0.654	0.755	0.0	0.041	-0.5	0.372	0.132	0.363	0.523	1.0
OLI067	4.825	-3	8.114	7.38	4.722	0.658	0.654	0.0	0.0	-0.5	0.498	0.372	0.686	0.537	1.0
OLI068	4.32	-3	4.456	-3	0.265	0.031	0.062	0.764	0.707	-0.5	0.632	0.492	0.139	0.029	1.0
OLI074	5.269	-3	1.123	-3	30.336	0.013	0.008	0.033	0.0	-0.5	0.245	0.17	0.301	0.385	1.0
OLI075	4.924	-3	3.202	-3	10.0	0.048	0.019	0.18	0.714	-0.5	0.792	0.704	0.132	0.19	1.0
OLI077	4.042	4.042	1.663	1.663	23.444	0.07	0.0	0.115	0.013	-0.5	0.833	0.701	0.04	0.139	1.0
OLI090	4.36	-3	4.119	-3	10.833	0.021	0.0	0.01	0.013	-0.5	0.523	0.182	0.594	0.076	1.0
OLI091	3.775	-3	4.036	-3	10.833	0.738	0.046	0.047	0.738	-0.5	0.575	0.051	0.436	0.03	1.0
OLI093	1.506	-3	1.392	0.484	10.833	0.0	0.012	0.031	0.727	-0.5	0.517	0.123	0.516	0.018	1.0
OLI096	3.675	-3	5.446	-3	1.111	0.028	0.046	0.073	0.674	-0.5	0.676	0.809	0.205	0.598	1.0
OLI097	5.408	3.84	4.291	-3	1.111	0.595	0.831	0.022	0.006	-0.5	0.637	0.415	0.224	0.354	1.0
OLI099	3.818	-3	4.052	-3	1.111	0.085	0.174	0.033	0.018	-0.5	0.214	0.519	0.885	0.862	1.0
OLI100	9.598	4.075	4.068	-3	0.265	0.739	0.385	0.016	0.385	-0.5	0.289	0.051	0.057	0.385	1.5
OLI104	4.692	4.692	3.463	-3	1.25	0.759	0.155	0.0	0.09	-0.5	0.604	0.542	0.246	0.395	1.0
OLI109	3.021	-3	3.949	3.949	0.265	0.649	0.637	0.006	0.0	-0.5	0.123	0.652	1.407	0.105	1.0
OLI110	3.021	3.021	3.949	-3	0.265	0.649	0.637	0.006	0.0	-0.5	0.123	0.652	1.407	0.105	1.0
OLI111	3.1	-3	8.505	8.505	6.909	0.063	0.045	0.0	0.006	-0.5	0.704	0.462	0.106	0.379	1.0
OLI113	1.718	-3	2.26	-3	4.444	0.016	0.709	0.046	0.03	-0.5	0.766	0.697	0.165	0.415	1.0
OLI115	2.139	-3	4.141	-3	1.613	0.006	0.705	0.06	0.019	-0.5	0.831	0.271	0.276	0.667	1.0
OLI116	4.834	-3	4.141	-3	1.613	0.006	0.705	0.06	0.019	-0.5	0.831	0.271	0.276	0.667	1.0
OLI117	4.445	-3	2.466	-3	1.613	0.0	0.041	0.058	0.025	-0.5	0.711	0.546	0.214	0.404	2.0
OLI118	4.05	4.05	4.52	2.146	15.679	0.0	0.705	0.048	0.016	0.81	0.752	0.577	0.173	0.012	1.0
OLI119	3.714	-3	2.972	2.972	0.265	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.011	1.0
OLI120	4.761	4.761	4.202	-3	1.25	0.731	0.019	0.013	0.0	-0.5	0.543	0.64	0.557	0.284	1.0
OLI121	4.816	-3	4.196	3.611	21.015	0.032	0.731	0.0	0.013	-0.5	0.518	0.543	0.143	0.071	1.0
OLI122	1.812	-3	3.471	-3	0.265	0.032	0.278	0.0	0.03	-0.5	0.518	0.426	0.143	0.07	1.0
OLI123	3.9	3.9	2.541	2.541	11.216	0.088	0.664	0.043	0.013	-0.5	0.782	0.635	0.099	0.385	1.0
OLI125	2.589	-3	2.916	-3	1.111	0.831	0.654	0.006	0.0	-0.5	0.415	0.372	0.42	0.543	1.0
OLI126	8.099	8.045	6.843	-3	1.111	0.754	0.739	0.028	0.0	-0.5	0.628	0.328	0.497	0.352	1.0
OLI131	2.85	-3	3.909	-3	0.265	0.385	0.123	0.385	0.006	-0.5	0.051	0.476	0.468	0.633	1.0
OLI133	2.894	-3	3.367	-3	1.111	0.066	0.013	0.034	0.0	-0.5	0.575	0.605	0.679	0.277	1.0
OLI134	2.488	-3	4.039	-3	1.111	0.078	0.072	0.123	0.081	-0.5	0.432	0.717	0.255	0.307	1.0
OLI135	3.236	-3	3.024	-3	1.25	0.048	0.072	0.024	0.016	-0.5	0.3	0.473	0.291	0.333	1.0
OLI136	3.236	-3	3.024	2.466	1.25	0.048	0.072	0.024	0.016	-0.5	0.3	0.473	0.291	0.333	1.0
OLI146	3.988	3.988	2.035	-3	1.111	0.595	0.621	0.022	0.027	-0.5	0.637	0.54	0.224	0.328	1.0
OLI147	7.92	1.415	2.889	-3	1.25	0.659	0.755	0.013	0.041	-0.5	0.398	0.132	0.622	0.18	1.0
OLI149	2.987	-3	3.8	-3	4.444	0.082	0.0	0.65	0.012	-0.5	0.553	0.735	0.411	0.415	1.0
OLI151	3.91	-3	3.8	-3	4.444	0.046	0.0	0.765	0.012	-0.5	0.875	0.735	0.085	0.353	1.0
OLI152	3.714	-3	1.647	-3	0.265	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.011	1.0
OLI153	4.069	-3	4.53	-3	13.086	0.781	0.632	0.03	0.029	-0.5	0.736	0.333	0.299	0.168	1.0
OLI154	5.546	-3	3.447	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI156	3.447	-3	4.164	-3	1.111	0.066	0.013	0.034	0.0	-0.5	0.575	0.605	0.679	0.277	1.0
OLI157	4.271	-3	2.405	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI159	3.916	3.916	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.277	1.0
OLI160	3.244	3.244	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.277	1.0
OLI161	3.112	3.112	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.277	1.0
OLI162	3.067	3.067	3.94	-3	4.722	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.277	1.0
OLI163	3.117	-3	3.94	-3	4.722	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.277	1.0
OLI164	3.796	3.796	3.663	-3	4.722	0.0	0.106	0.033	0.016	0.697	0.786	0.694	0.434	0.277	1.0
OLI165	3.332	-3	4.061	-3	1.111	0.049	0.008	0.019	0.0	-0.5	0.144	0.296	0.306	0.42	1.0
OLI166	3.806	2.552	3.684	-3	1.111	0.75	0.676	0.009	0.031	-0.5	0.216	0.653	0.764	0.576	1.0
OLI168	1.671	-3	4.07	-3	2.778	0.062	0.055	0.765	0.708	-0.5	0.778	0.74	0.039	0.577	1.0
OLI169	3.898	-3	1.128	-3	18.889	0.814	0.089	0.016	0.05	-0.5	0.3	0.229	0.451	0.085	1.0
OLI171	3.84	-3	7.089	4.668	4.722	0.658	0.654	0.0	0.0	-0.5	0.498	0.372	0.686	0.537	1.0
OLI172	0.476	-3	4.668	4.668	4.722	0.664	0.654	0.036	0.0	-0.5	0.428	0.372	1.091	0.315	1.0
OLI174	4.25	4.25	1.958	-3	4.722	0.654	0.659	0.0	0.013	-0.5	0.372	0.398	0.363	0.144	1.0
OLI178	2.552	-3	3.71	3.684	1.111	0.75	0.676	0.009	0.031	-0.5	0.216	0.653	0.764	0.576	1.0
OLI179	2.552	-3	3.684	-3	1.111	0.75	0.676	0.009	0.031	-0.5	0.216	0.653	0.764	0.576	1.0
OLI182	2.948	-3	3.587	-3	29.981	0.096	0.035	0.013	0.0	-0.5	0.595	0.216	0.183	0.033	1.0
OLI183	3.129	-3	1.577	-3	11.25	0.038	0.006	0.116	0.636	-0.5	0.711	0.268	0.13	0.361	1.0
OLI185	2.54	-3	4.968	-3	17.368	0.031	0.634	0.069	0.034	-0.5	0.655	0.146	0.113	0.012	1.0
OLI186	3.299	-3	3.539	-3	1.25	0.711	0.164	0.013	0.023	-0.5	0.261	0.147	0.54	0.255	1.0
OLI187	-0.12	-3	3.539	3.539	1.25	0.711	0.164	0.013	0.023	-0.5	0.261	0.147	0.54	0.255	1.0
OLI188	2.514	-3	6.236	-3	5.367	0.719	0.073	0.006	0.022	-0.5	0.562	0.438	0.583	0.322	1.0
OLI189	2.099	-3	5.243	5.243	23.444	0.07	0.0	0.115	0.013	-0.5	0.833	0.701	0.04	0.139	1.0
OLI190	4.132	-3	2.521	-3	10.0	0.07	0.035	0.115	0.0	-0.5	0.833	0.79	0.04	0.053	1.0
OLI191	7.67	1.935	6.4	-3	0.265	0.032	0.385	0.013	0.385	-0.5	0.051	0.051	0.869	0.193	1.0
OLI192	0.152	-3	4.861	-3	1.25	0.048	0.072	0.024	0.016	-0.5	0.3	0.473	0.291	0.333	1.0
OLI195	1.913	-3	3.004	2.784	4.722	0.048	0.049	0.18	0.019	-0.5	0.792	0.144	0.132	0.118	1.0
OLI197	4.874	-3	3.432	-3	1.25	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.412	1.0
OLI198	7.792	-3	4.259	-3	4.722	0.048	0.049	0.18	0.019	-0.5	0.792	0.144	0.132	0.118	1.0
OLI199	2.927	-3	4.259	3.004	4.722	0.048	0.049	0.18	0.019	-0.5	0.792	0.144	0.132	0.118	1.0
OLI200	4.059	-3	7.961	7.961	1.773	0.047	0.092	0.038	0.006	-0.5	0.338	0.52	0.225	0.363	1.0
OLI202	1.963	-3	3.431	-3	5.0	0.038	0.028	0.116	0.073	-0.5	0.711	0.676	0.13	0.36	1.0
OLI203	4.187	-3	4.067	-3	1.25	0.02	0.052	0.742	0.745	-0.5	0.819	0.835	0.044	0.44	1.0
OLI205	3.714	-3	1.647	1.647	0.265	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.011	1.0
OLI206	3.714	-3	5.236	5.236	0.265	0.008	0.0	0.0	0.049	-0.5	0.296	0.784	0.161	0.011	1.0
OLI209	0.527	-3	4.272	-3	1.25	0.718	0.673	0.016	0.009	-0.5	0.831	0.564	0.256	0.414	1.0
OLI210	4.928	-3	3.995	-3	6.909	0.063	0.045	0.0	0.006	-0.5	0.704	0.462	0.106	0.379	1.0
OLI211	0.599	-3	7.894	7.894	1.736	0.617	0.65	0.006	0.013	-0.5	0.683	0.485	0.222	0.087	1.0
OLI214	3.806	-3	-0.038	-3	1.25	0.617	0.661	0.006	0.063	-0.5	0.683	0.706	0.222	0.177	1.0
OLI218	5.099	-3	3.695	-3	1.25	0.046	0.039	0.674	0.604	-0.5	0.809	0.43	0.055	0.75	1.0
OLI220	1.881	-3	-0.73	-0.73	71.369	0.778	0.143	0.053	0.0	-0.5	0.251	0.3	0.326	0.411	1.0
OLI221	2.404	-3	2.22	-3	10.0	0.057	0.735	0.703	0.0	-0.5	0.712	0.466	0.366	0.061	1.0
OLI222	2.741	-3	4.148	-3	1.25	0.124	0.039	0.031	0.013	-0.5	0.144	0.553	0.588	0.69	1.0
OLI223	2.381	-3	4.148	-3	1.25	0.124	0.039	0.031	0.013	-0.5	0.144	0.553	0.588	0.69	1.0
OLI225	3.84	-3	8.114	8.114	4.722	0.658	0.654	0.0	0.0	-0.5	0.498	0.372	0.686	0.537	1.0
OLI227	3.186	3.186	4.305	4.305	9.803	0.575	0.73	0.036	0.0	-0.5	0.589	0.206	0.038	0.002	1.0
OLI228	2.11	-3	4.245	-3	0.265	0.673	0.734	0.009	0.036	-0.5	0.564	0.727	0.294	0.614	1.0
OLI229	2.075	-3	4.041	-3	0.265	0.673	0.734	0.009	0.036	-0.5	0.564	0.727	0.294	0.614	1.0
OLI239	4.078	-3	4.265	-3	1.25	0.0	0.0	0.727	0.646	-0.5	0.792	0.806	0.346	0.395	1.0
OLI240	3.518	-3	4.36	-3	1.25	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.327	1.0
OLI241	2.58	-3	5.579	-3	20.0	0.11	0.765	0.031	0.018	-0.5	0.655	0.353	0.31	0.225	1.0
OLI242	3.076	-3	3.932	-3	20.0	0.11	0.765	0.031	0.018	-0.5	0.655	0.353	0.31	0.225	1.0
OLI243	3.774	-3	4.959	-3	1.111	0.715	0.667	0.036	0.0	-0.5	0.481	0.23	0.807	0.232	1.0
OLI244	3.842	-3	4.55	4.55	0.265	0.739	0.046	0.071	0.0	-0.5	0.378	0.289	0.304	0.333	1.0
OLI249	4.054	-3	4.35	-3	10.833	0.121	0.032	0.019	0.751	-0.5	0.565	0.051	0.278	0.047	1.0
OLI250	3.781	-3	4.125	-3	1.25	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.327	1.0
OLI251	4.551	-3	4.861	-3	10.833	0.03	0.072	0.758	0.016	-0.5	0.825	0.473	0.245	0.024	1.0
OLI253	4.472	-3	3.646	-3	1.25	0.0	0.032	0.867	0.751	-0.5	0.875	0.051	0.346	0.405	1.0
OLI254	4.504	-3	4.116	-3	0.265	0.278	0.019	0.03	0.0	-0.5	0.426	0.64	0.545	0.362	1.0
OLI258	3.257	-3	2.337	-3	13.418	0.047	0.0	0.176	0.779	-0.5	0.637	0.685	0.197	0.035	1.0
OLI259	5.746	-3	2.063	-3	15.787	0.104	0.739	0.065	0.016	-0.5	0.543	0.289	0.453	0.41	1.0
OLI265	0.665	-3	3.879	-3	0.265	0.104	0.385	0.065	0.385	-0.5	0.543	0.051	0.453	0.385	0.385
OLI266	3.482	-3	4.154	-3	1.235	0.104	0.155	0.065	0.09	-0.5	0.543	0.542	0.453	0.651	1.0
OLI269	3.677	-3	3.314	-3	21.389	0.0	0.054	0.026	0.006	-0.5	0.647	0.216	0.385	0.011	0.385
OLI274	3.401	-3	0.413	-3	14.629	0.039	0.041	0.619	0.643	-0.5	0.71	0.146	0.306	0.032	1.0
OLI290	2.956	-3	4.017	-3	18.333	0.013	0.704	0.03	0.073	-0.5	0.655	0.525	0.249	0.027	1.0
OLI291	4.081	-3	2.198	-3	19.444	0.033	0.111	0.747	0.01	-0.5	0.652	0.229	0.119	0.179	1.0
OLI292	4.329	-3	3.282	-3	17.218	0.055	0.013	0.0	0.047	-0.5	0.558	0.698	0.146	0.079	1.0
OLI293	3.797	-3	3.76	-3	10.833	0.013	0.013	0.019	0.047	-0.5	0.639	0.698	0.209	0.21	1.0
OLI294	4.132	-3	2.753	-3	17.218	0.055	0.013	0.0	0.047	-0.5	0.558	0.698	0.146	0.079	1.0
OLI295	4.125	-3	4.244	-3	21.006	0.6	0.013	0.008	0.047	-0.5	0.54	0.698	0.219	0.064	1.0
OLI297	2.296	-3	1.741	-3	0.265	0.0	0.015	0.727	0.009	-0.5	0.837	0.765	0.385	0.021	0.385
OLI298	3.501	-3	4.243	-3	4.722	0.027	0.013	0.006	0.047	0.864	0.583	0.698	0.718	0.038	1.0
OLI302	4.536	4.536	3.374	3.374	12.585	0.599	0.078	0.009	0.022	-0.5	0.694	0.501	0.295	0.128	1.0
OLI303	2.54	-3	5.258	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI304	3.845	-3	3.463	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI305	2.54	-3	4.225	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI306	2.335	-3	7.998	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI307	3.882	-3	3.983	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI309	1.007	-3	3.885	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI312	1.279	-3	4.193	-3	20.139	0.07	0.095	0.009	0.015	-0.5	0.172	0.699	0.528	0.071	1.0
OLI315	2.54	-3	7.219	-3	4.722	0.031	0.0	0.069	0.0	-0.5	0.655	0.722	0.113	0.384	1.0
OLI317	4.119	-3	3.933	-3	11.25	0.075	0.765	0.733	0.018	-0.5	0.736	0.353	0.385	0.024	0.385
OLI319	0.605	-3	5.005	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI320	1.961	-3	3.168	-3	1.111	0.672	0.689	0.006	0.04	-0.5	0.661	0.708	0.311	0.038	1.0
OLI321	4.666	2.383	1.63	-3	1.111	0.672	0.728	0.006	0.054	-0.5	0.661	0.723	0.311	0.246	1.0
OLI326	3.837	3.35	2.278	-3	1.25	0.091	0.107	0.761	0.666	-0.5	0.639	0.683	0.19	0.562	0.385
OLI327	3.837	-3	2.278	-3	1.25	0.091	0.107	0.761	0.666	-0.5	0.639	0.683	0.19	0.562	0.385
OLI356	7.731	-3	3.54	-3	1.25	0.048	0.029	0.18	0.0	-0.5	0.792	0.619	0.132	0.1	1.0
OLI362	4.162	-3	3.069	-3	1.111	0.028	0.046	0.073	0.674	-0.5	0.676	0.809	0.205	0.598	1.0
OLI365	4.521	-3	3.676	-3	1.25	0.048	0.029	0.18	0.0	-0.5	0.792	0.619	0.132	0.1	1.0
OLI368	4.573	-3	4.236	-3	5.0	0.048	0.044	0.18	0.016	-0.5	0.792	0.825	0.132	0.194	1.0
OLI369	0.975	-3	4.088	-3	10.0	0.044	0.083	0.016	0.006	-0.5	0.825	0.525	0.04	0.315	1.0
OLI370	3.482	-3	4.088	-3	10.0	0.044	0.083	0.016	0.006	-0.5	0.825	0.525	0.04	0.315	1.0
OLI371	3.663	-3	4.088	-3	10.0	0.048	0.083	0.18	0.006	-0.5	0.792	0.525	0.132	0.076	1.0
OLI372	4.522	-3	2.177	-3	25.026	0.048	0.044	0.18	0.009	-0.5	0.792	0.768	0.132	0.236	1.0
OLI376	3.145	-3	5.044	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI377	3.762	-3	3.925	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI378	3.33	-3	3.372	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI379	1.886	-3	3.904	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI380	4.875	-3	3.874	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI381	6.441	-3	4.306	-3	1.111	0.114	0.066	0.021	0.034	-0.5	0.474	0.575	0.726	0.317	1.0
OLI383	5.548	-3	3.902	-3	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI384	3.626	-3	4.12	-3	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI385	6.062	-3	3.753	3.753	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI386	3.383	1.553	4.215	-3	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI387	3.383	-3	4.215	-3	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI388	1.553	-3	4.215	4.215	1.111	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.555	1.0
OLI391	6.28	-3	3.056	-3	0.265	0.048	0.0	0.18	0.049	-0.5	0.792	0.784	0.132	0.043	1.0
OLI393	1.452	-3	4.088	-3	10.0	0.564	0.083	0.0	0.006	-0.5	0.455	0.525	0.385	0.046	0.385
OLI394	3.709	-3	3.473	-3	10.0	0.057	0.727	0.046	0.012	-0.5	0.728	0.153	0.43	0.011	1.0
OLI396	3.47	-3	0.216	-3	1.111	0.008	0.013	0.0	0.006	-0.5	0.296	0.241	0.161	0.406	1.0
OLI397	4.508	-3	1.012	-3	1.25	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.412	1.0
OLI398	4.15	4.15	4.916	-3	10.417	0.778	0.03	0.053	0.758	-0.5	0.251	0.825	0.326	0.015	1.0
OLI399	4.15	-3	4.916	-3	10.417	0.778	0.03	0.053	0.758	-0.5	0.251	0.825	0.326	0.015	1.0
OLI400	4.062	-3	3.206	-3	5.0	0.019	0.115	0.057	0.717	-0.5	0.733	0.738	0.083	0.374	1.0
OLI404	2.735	-3	3.504	-3	1.754	0.006	0.052	0.629	0.045	-0.5	0.783	0.596	0.215	0.101	1.0
OLI405	2.558	2.558	2.917	2.917	0.265	0.668	0.81	0.026	0.038	-0.5	0.547	0.394	0.15	0.0	1.0
OLI407	3.024	-3	3.968	-3	1.111	0.013	0.016	0.009	0.801	-0.5	0.492	0.875	0.333	0.095	1.0
OLI409	6.086	4.508	1.012	1.012	1.25	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.412	1.0
OLI410	3.968	-3	4.407	-3	1.25	0.048	0.053	0.18	0.041	-0.5	0.792	0.798	0.132	0.412	1.0
OLI412	1.409	-3	1.87	-3	4.722	0.025	0.031	0.582	0.019	-0.5	0.655	0.112	0.267	0.49	1.0
OLI413	0.686	-3	0.634	-3	10.417	0.011	0.031	0.71	0.019	-0.5	0.743	0.112	0.481	0.216	1.0
OLI414	3.643	-3	4.025	-3	1.25	0.035	0.066	0.029	0.754	-0.5	0.626	0.584	0.176	0.327	1.0
OLI415	2.995	-3	4.241	-3	4.722	0.642	0.035	0.032	0.0	-0.5	0.706	0.79	0.141	0.042	1.0
OLI416	4.317	-3	3.684	-3	4.444	0.031	0.133	0.764	0.705	-0.5	0.632	0.685	0.139	0.558	1.0
OLI418	8.051	-3	2.964	2.964	4.722	0.733	0.664	0.016	0.036	-0.5	0.744	0.428	0.328	0.461	1.0
OLI419	7.963	-3	4.384	-3	1.111	0.031	0.095	0.069	0.015	-0.5	0.655	0.699	0.113	0.441	1.0
OLI426	4.049	-3	2.731	-3	5.0	0.039	0.006	0.063	0.0	-0.5	0.366	0.702	0.804	0.056	2.0
OLI428	3.934	-3	3.741	-3	10.0	0.013	0.049	0.742	0.019	-0.5	0.707	0.144	0.196	0.074	1.0
OLI440	4.099	-3	-0.026	-3	5.694	0.0	0.052	0.026	0.045	-0.5	0.647	0.596	0.385	0.113	0.385
OLI443	4.73	4.73	4.469	4.469	16.802	0.754	0.705	0.028	0.022	-0.5	0.628	0.123	0.497	0.018	1.0
OLI445	2.187	-3	7.526	-3	5.0	0.038	0.028	0.116	0.073	-0.5	0.711	0.676	0.13	0.36	1.0
